component,path,exists,notes
"00_Project_overview_and_safety","README_FIRST_START_HERE.txt","True","required entrypoint or publication-preparation artifact"
"00_Project_overview_and_safety","README.md","True","required entrypoint or publication-preparation artifact"
"00_Project_overview_and_safety","DISCLAIMER_NOT_FOR_CLINICAL_USE.md","True","required entrypoint or publication-preparation artifact"
"00_Project_overview_and_safety","LICENSE","True","required entrypoint or publication-preparation artifact"
"00_Project_overview_and_safety","NOTICE","True","required entrypoint or publication-preparation artifact"
"00_Project_overview_and_safety","CITATION.cff","True","required entrypoint or publication-preparation artifact"
"00_Project_overview_and_safety","CITATION.bib","True","required entrypoint or publication-preparation artifact"
"00_Project_overview_and_safety","VERSION","True","required entrypoint or publication-preparation artifact"
"00_Project_overview_and_safety","CHANGELOG.md","True","required entrypoint or publication-preparation artifact"
"04_Methods_and_supplementary_documentation","docs/REGRESSION_SWEEP_v5.3.md","True","required entrypoint or publication-preparation artifact"
"04_Methods_and_supplementary_documentation","docs/DOCUMENTATION_COHERENCE_AUDIT_v5.4.md","True","required entrypoint or publication-preparation artifact"
"04_Methods_and_supplementary_documentation","docs/APACHE_LICENSE_CONVERSION_v5.5.md","True","required entrypoint or publication-preparation artifact"
"04_Methods_and_supplementary_documentation","docs/ZENODO_DEPOSITION_PLAN_v5.6.md","True","required entrypoint or publication-preparation artifact"
"04_Methods_and_supplementary_documentation","docs/CRYSTALLOID_INFUSION_CONTROLS_v5.6A.md","True","required entrypoint or publication-preparation artifact"
"04_Methods_and_supplementary_documentation","docs/PUBLICATION_RELEASE_ROADMAP_v5.3_to_v6.0.md","True","required entrypoint or publication-preparation artifact"
"04_Methods_and_supplementary_documentation","metadata/zenodo_metadata_v5.6.yaml","True","required entrypoint or publication-preparation artifact"
"00_Project_overview_and_safety",".zenodo.json","True","required entrypoint or publication-preparation artifact"
"03_Validation_and_regression_outputs","outputs/literature_benchmark_v5.0A/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/methods_appendix_v5.1B/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/monte_carlo_v5.0B/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/pkpd_insulin_v1.16/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/plausibility_guardrails_v5.0C/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/regression_sweep_v5.3/","True","output directory; inspect contents before upload"
"01_Software_release_candidate","outputs/release_archives/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/reproducibility_pack_v5.1A/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/scenario_solvability_v5.0D/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/score_assumption_audit_v1.19/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/sensitivity_maps_v5.1D/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/session_exports_v2.5/","True","output directory; inspect contents before upload"
"03_Validation_and_regression_outputs","outputs/ui_human_factors_v5.0E/","True","output directory; inspect contents before upload"
"02_Scenario_library","scenarios/","True","99 YAML scenarios observed"
"01_Software_release_candidate","tests/","True","114 Python test files observed"
"01_Software_release_candidate","modules/","True","35 non-init module files observed"
"05_Manuscripts_and_figures","PICUSim_Cureus_TechnicalReport_v2.docx","False","external paper artifact; defer until after public deposit and final manifest-derived package facts"
"05_Manuscripts_and_figures","PICUSim_JMIR_MedEd_manuscript_v3.docx","False","external paper artifact; defer until after public deposit and final manifest-derived package facts"
