scenario,run,seed,run_error,SaO2_final,PaO2_final,PaCO2_final,pH_a_final,MAP_final,HR_final,CO_final,Vt_final,PEEP_final,FiO2_final,Paw_final,Pplat_final,Ppeak_final,Pdriving_final,MP_final,recruited_frac_final,VILI_risk_final,overdistension_index_final,atelectrauma_index_final,lactate_final,Hb_final,fluid_balance_final,urine_rate_mL_h_final,GFR_final,PAP_mean_final,PVR_final,RV_afterload_index_final,ICP_mmHg_final,CPP_mmHg_final,pain_score_final,stress_index_final,sedation_score_final,analgesia_score_final,airway_obstruction_index_final,auto_PEEP_obstructive_final,R_rs_final,sepsis_severity_score_final,vasoplegia_index_final,myocardial_depression_index_final,endothelial_leak_index_final,microcirculatory_failure_index_final,fluid_responsiveness_final,heart_lung_CO_mod_final,cortisol_activity_final,catecholamine_tone_final,adrenal_insufficiency_index_final,critical_illness_steroid_need_index_final,insulin_resistance_index_final,stress_hyperglycemia_index_final,ADH_water_retention_index_final,thyroid_suppression_index_final,endocrine_severity_score_final,glucose_mmol_L_final,Na_mmol_L_final,K_mmol_L_final,Cl_mmol_L_final,HCO3_mmol_L_final,urea_mmol_L_final,creatinine_mg_dL_final,bilirubin_total_mg_dL_final,GCS_proxy_final,microbial_burden_final,antibiotic_coverage_final,infection_severity_score_final,antibiotic_effect_final,vq_adaptive_sigma_final,vq_ards_weight_final,vq_obstruction_weight_final,vq_shock_weight_final,vq_neonatal_weight_final,C_vancomycin_mg_L_final,vancomycin_target_attainment_final,C_piperacillin_mg_L_final,piperacillin_ft_above_MIC_final,piperacillin_target_attainment_final,C_insulin_mU_L_final,insulin_glucose_clearance_signal_final,insulin_hypoglycemia_risk_final,C_morphine_ng_mL_final,M6G_accumulation_proxy_final,SaO2_min,PaCO2_max,pH_a_min,MAP_min,VILI_risk_max,lactate_max,hypoxemia_any,severe_hypoxemia_any,hypercapnia_any,severe_acidemia_any,hypotension_any,high_vili_any,high_lactate_final,plausibility_flags,pass_stability
healthy_child_20kg,0,5031,,0.8723503824041943,79.09226406757753,81.6314951271753,7.08121511531217,82.14744650138977,163.38991160134026,5.0,117.73110800439058,8.0,0.28823592084737987,15.0,0.0,15.0,7.0,2.791087558660618,0.8832867982840605,0.02801116841182547,0.0,0.08403350523547641,0.977995103641113,10.107284668977925,0.09715014093426,16.434401125221886,43.143489245739815,8.209036770123914,7.995478672953739,0.004538679662112344,10.0,55.0,10.0,1.0,0.0,0.0,0.0,0.0,9.45710304975756,0.0,0.0,0.0,0.0,0.0,0.5545438855982974,0.9827655527948812,0.22075724876055805,0.2506734800927778,0.11365700165258925,0.019321690280940173,0.09488447039731157,0.0,0.23513695182259184,0.0,0.09275937726059685,5.180888644896365,138.0,4.041258740432919,103.0,24.0,5.006837000438329,0.3503191953018691,0.5029823924466642,14.89213922768141,0.0,0.0,0.0,0.0,0.4961832851492141,0.13422018197333038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8723503824041943,81.6314951271753,7.08121511531217,68.0,0.02801116841182547,1.0,1,0,1,1,0,0,0,,1
healthy_child_20kg,1,5032,,0.9127367765818871,88.88816998390617,72.34456963582984,7.133666928784953,82.39362652654557,162.81752117108118,5.0,134.6934664584993,8.0,0.30984708697886404,15.0,0.0,15.0,7.0,3.1932194034151844,0.8833884021431687,0.027986783485639512,0.0,0.08396035045691853,0.977943980574014,10.727144453328696,0.09187589596529899,16.6554254027595,43.38400468754647,8.123759306977526,7.918069339300828,0.0,10.0,55.0,9.179887405541066,1.0,0.0,0.0,0.0,0.0,9.010251880446518,0.0,0.0,0.0,0.0,0.0,0.554687542364772,0.9838822530172562,0.22060238258455062,0.24704531481902586,0.10773998251530581,0.01831579702760199,0.0940583981254048,0.0,0.21957718641223753,0.0,0.08761266017503819,5.180964300365585,138.0,4.040922981090805,103.0,24.0,5.006535396883141,0.350302953783278,0.5029823993694958,14.89991507842148,0.0,0.0,0.0,0.0,0.49605602631568113,0.13410333753535597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9127367765818871,72.34456963582984,7.133666928784953,68.0,0.027986783485639512,1.0,0,0,1,1,0,0,0,,1
healthy_child_20kg,2,5033,,0.9167230173058901,92.3078569382442,76.38284002021001,7.110077064224148,82.27483106571606,163.14844286786231,5.0,126.8532872059891,8.0,0.3204056932543824,15.0,0.0,15.0,7.0,3.007349864426948,0.8833435857105855,0.027997539429459487,0.0,0.08399261828837846,0.977930229063015,11.146790571565031,0.09319191610893873,16.448701579407437,43.16795128990419,8.123515391735596,7.918069339300828,0.0,10.0,55.0,9.968240744367357,1.0,0.0,0.0,0.0,0.0,9.460158586596306,0.0,0.0,0.0,0.0,0.0,0.5542423610006314,0.9838822144875318,0.22075125149322442,0.2505329776432543,0.11342786223364372,0.019282736579719434,0.09485248035029634,0.0,0.2345348865562256,0.0,0.09256014722419185,5.1809683635412975,138.0,4.0409309137211125,103.0,24.0,5.006557815334686,0.3503030705422499,0.5029823987288629,14.895964981298974,0.0,0.0,0.0,0.0,0.4961121588974917,0.1341548764328267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167230173058901,76.38284002021001,7.110077064224148,68.0,0.027997539429459487,1.0,0,0,1,1,0,0,0,,1
healthy_child_20kg,3,5034,,0.9153756566160267,91.5664822340708,76.01487755086445,7.1121742659811265,82.28501351237239,163.12048063768665,5.0,127.54544348752248,8.0,0.3127674758177168,15.0,0.0,15.0,7.0,3.023759026107177,0.8833484523942553,0.027996371425378728,0.0,0.08398911427613619,0.9779302321221751,12.290349963464362,0.09304568350622539,16.46626122381146,43.186355534533696,8.123516102444084,7.918069339300828,0.0,10.0,55.0,9.901095740257198,1.0,0.0,0.0,0.0,0.0,9.69348801261109,0.0,0.0,0.0,0.0,0.0,0.5542649087167947,0.9838823135625656,0.22073857214883338,0.25023592919665755,0.11294341866214257,0.019200381172564236,0.09478484741005466,0.0,0.2332609258109558,0.0,0.0921387645256011,5.180968724022001,138.0,4.040927866262036,103.0,24.0,5.006553505948191,0.3503028977969707,0.5029823992150546,14.896238177800912,0.0,0.0,0.0,0.0,0.4961060633761952,0.1341492797466064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9153756566160267,76.01487755086445,7.1121742659811265,68.0,0.027996371425378728,1.0,0,0,1,1,0,0,0,,1
healthy_child_20kg,4,5035,,0.890455292781587,87.06551194844943,89.63355727755781,7.040602233669945,82.26932632251432,163.25970027784936,5.0,106.22439090969024,8.0,0.31286858315265065,15.0,0.0,15.0,7.0,2.518294280244791,0.883218880504315,0.028027468678964412,0.0,0.08408240603689324,0.9779424026162484,10.434874205904352,0.09363005374121197,16.440366094042165,43.15915849551795,8.123745936466776,7.918069339300828,0.0,10.0,55.0,10.0,1.0,0.0,0.0,0.0,0.0,7.942848713399657,0.0,0.0,0.0,0.0,0.0,0.5550030124107632,0.9838812186469044,0.22075724876055805,0.2506734800927778,0.11365700165258925,0.019321690280940173,0.09488447039731157,0.0,0.23513741453980777,0.0,0.0927594512953514,5.180960638289671,138.0,4.0410600667796635,103.0,24.0,5.0065855156680055,0.3503048729359237,0.5029823903257373,14.886624274089831,0.0,0.0,0.0,0.0,0.4962683521683455,0.13429828742003777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890455292781587,89.63355727755781,7.040602233669945,68.0,0.028027468678964412,1.0,1,0,1,1,0,0,0,,1
infant_bronchiolitis,0,105031,,0.7227723342813991,57.42830658372373,104.85871112593001,6.972465966414965,61.62547063501273,209.99999998984862,2.0,46.59896094870716,7.0,0.45,7.0,0.0,7.0,0.0,0.9580485677566368,0.6870321007197725,0.023488157823202373,0.0,0.07046447346960712,2.0240652245929995,10.799536000000499,0.015315373846520347,4.124180821208531,10.973330314093516,9.756719068568856,25.652483438916743,0.25735781322521856,10.0,55.0,10.0,1.0,0.0,0.0,0.49289209302379544,4.032014017416462,84.62320488343335,0.008473607924482235,0.007752211568854468,0.00655956363518455,0.00899089977257037,0.025938795521966276,0.460750415534484,0.9089563791928318,0.22722978003485564,0.3144387276886469,0.12829828712992597,0.03214431834739659,0.11395706848952199,0.0,0.26167578634703165,0.0008663904228782739,0.10868076874923727,5.231726677886532,138.0,4.10396439122731,103.0,23.999868225097977,5.023079731947927,0.35067448070609386,0.505043495968209,14.573747763105153,0.0,0.0,0.0007571899690255512,0.0,1.4816620420903999,0.39603514135584716,0.8949403580066976,0.005883031899650914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6924286183286553,104.85871112593001,6.972465966414965,58.0,0.023709541077467356,2.059990766745608,1,1,1,1,0,0,0,,1
infant_bronchiolitis,1,105032,,0.8387855243983801,74.17831381453081,104.85871112593001,6.972466876072583,61.2080972093438,209.99999998984862,2.0,55.15141388754692,7.0,0.45,7.0,0.0,7.0,0.0,1.1338822155901258,0.8983348940860585,0.022027439614687328,0.0,0.06608231884406199,1.816258278006397,11.111305010628882,0.014888125314927794,4.064249422483076,10.851717073406538,8.33736772266386,22.086905996241896,0.19767562108958536,10.0,55.0,10.0,1.0,0.0,0.0,0.4739636525625486,4.728777566367351,85.68305418349253,0.005228358560894578,0.006670133590935183,0.005643959192329771,0.0073884556699589715,0.005130871993027064,0.4608590425298112,0.9022208293787678,0.22711270307661638,0.31590341974596364,0.1300062138779519,0.03628714109001922,0.11346926048186329,0.0,0.2685136703279894,0.0007717776565798396,0.11034699289019144,5.231934376649208,138.0,4.10390124272824,103.0,23.999918494412373,5.022819356431947,0.35066250715128905,0.5047831238678716,14.790637895971098,0.0,0.0,0.0,0.0,1.287356503204024,0.15270554310172257,0.9986613748218065,0.0023527613524025603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8248897490943501,104.85871112593001,6.972466876072583,58.0,0.022202032410976413,1.8513344392163462,1,1,1,1,0,0,0,,1
infant_bronchiolitis,2,105033,,0.7841056436760394,64.93112424326804,104.85871112593001,6.9724654302958395,58.12324718300369,209.99999998984862,2.0,70.35831374929742,7.0,0.45,7.0,0.0,7.0,0.0,1.44652756939115,0.7790813481502139,0.06694520920701337,0.13246484769955502,0.06837077992148509,2.182965259718834,10.449255275494412,0.03584268697734978,3.3503801319992363,9.184526714755497,8.951644026013371,24.89137491867528,0.30365469636274933,10.0,55.0,10.0,1.0,0.0,0.0,0.4879030238168015,5.348029495597214,70.30975810294737,0.009196579438043204,0.00835246491672001,0.007067470314147701,0.021100416642595893,0.028504405829005628,0.45483841260538527,0.8617063976459154,0.22897538848254567,0.33495640194303655,0.15032145165211985,0.07274800117702228,0.119093554933065,0.0,0.3193256227685288,0.001476098242655351,0.1286186331376408,5.231100030388807,138.0,4.104960615364627,103.0,23.99983859824122,5.027171195953102,0.3509634943902073,0.5050282229499188,14.709415535704302,0.0,0.0,0.004719326508594423,0.0,1.468215995232204,0.29153227440503243,1.0,0.019512619504040027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7709866946388043,104.85871112593001,6.9724654302958395,57.82265434789641,0.06694520920701337,2.220145968175354,1,1,1,1,0,0,0,,1
infant_bronchiolitis,3,105034,,0.7399125792019965,59.314519605931764,104.85871112593001,6.972467362849868,61.70002827108023,209.99999998984862,2.0,37.13876956002033,7.0,0.45,7.0,0.0,7.0,0.0,0.7635523252199985,0.7719717025565155,0.022840674000066025,0.0,0.06852202200019808,1.626515952768664,9.378663371585025,0.014888779498686694,4.1291325977876046,10.972088342415697,9.585783656150408,25.212611149749936,0.24817934557917692,10.0,55.0,10.0,1.0,0.0,0.0,0.5882541612538063,4.291152459474083,83.21840700720057,0.010195451390491756,0.008253206289370396,0.006983482244851874,0.00914201312053336,0.037400348419841654,0.46080893318943245,0.9102419271064992,0.22707705413032916,0.31329220030842214,0.12740559798913484,0.03073122939235281,0.11406894568501559,0.0,0.2590996307415639,0.0007979644886069793,0.10786003891823034,5.231816822634095,138.0,4.103942653125217,103.0,23.999945394642964,5.023095840599171,0.35067099023277365,0.5053696537135689,14.61966984397434,0.0,0.0,0.0,0.0,1.401582860747344,0.3048224434919502,0.9066221451459013,0.004587953125721291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7191491115265793,104.85871112593001,6.972467362849868,58.0,0.023042114872332497,1.6559678001838594,1,1,1,1,0,0,0,,1
infant_bronchiolitis,4,105035,,0.7859011002107633,65.18707664663921,104.85871112593001,6.972464515145731,60.30488985859581,209.99999998984862,2.0,72.64867400112514,7.0,0.45,7.0,0.0,7.0,0.0,1.4936160948483073,0.874102826899556,0.08223347877258483,0.18018067832666076,0.06651975799109372,2.377262414452333,9.559076117578652,0.025369867961039252,3.8023939623367866,10.239622646098553,9.219710625053601,24.633088259209956,0.28548144046128343,10.0,55.0,10.0,1.0,0.0,0.0,0.5264273523672712,4.4446669597918005,52.32885127729581,0.011623417580484591,0.008946615002391049,0.007570212694330888,0.01573268321366513,0.04530407671461806,0.45782959290021924,0.8936850795451459,0.22870476071583615,0.32339106082265445,0.14125335568486982,0.049819900184019744,0.11701106595883703,0.0,0.2851266579683839,0.001594044935677208,0.11893367181249985,5.231423855257153,138.0,4.10448505361244,103.0,23.999788025570673,5.025261073103511,0.35080644603966815,0.5054202708455184,14.666304107226326,0.0,0.0,0.009608900493053107,0.0,1.2915330912069483,0.18338867972217168,0.936609956871998,0.03688833416771162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759561716777654,104.85871112593001,6.972464515145731,58.0,0.08223347877258483,2.419037545917289,1,1,1,1,0,0,0,,1
