scenario,variable,module,kind,min,max,final,hard_low,hard_high,expected_low,expected_high,status,run_error
healthy_child_20kg,ADH_water_retention_index,EndocrineStressAxisModule,index,0.0,0.18829369844629934,0.1735386100971622,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,AKI_index,AKICRRTModule/FluidBalanceModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,CRP_proxy,InfectionAntimicrobialBasicModule,proxy,0.0,0.0,0.0,0.0,500.0,0.0,300.0,PASS,
healthy_child_20kg,CRRT_UF_mL_h_effective,AKICRRTModule/FluidBalanceModule,effect_index,0.0,0.0,0.0,0.0,1000.0,0.0,250.0,PASS,
healthy_child_20kg,CRRT_active_effective,AKICRRTModule/FluidBalanceModule,effect_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,CRRT_clearance_mod,AKICRRTModule/FluidBalanceModule,modifier,0.0,0.0,0.0,0.0,5.0,0.0,2.5,PASS,
healthy_child_20kg,GCS_proxy,NeuroFunctionalModule/ICPModule,proxy,14.919587717645731,15.0,14.978543729248168,3.0,15.0,3.0,15.0,PASS,
healthy_child_20kg,HFOV_power_proxy,VentilatorModule,proxy,0.0,0.0,0.0,0.0,200.0,0.0,100.0,PASS,
healthy_child_20kg,ICP_alert,NeuroFunctionalModule/ICPModule,alert_flag,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,LDH_index,HematologyOxygenTransportModule,index,0.0,0.15,0.15,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,M6G_accumulation_proxy,Pharmacology/PainStressSedationModules,proxy,0.0,0.0,0.0,-1000.0,1000.0,-100.0,100.0,PASS,
healthy_child_20kg,RASS_proxy,NeuroFunctionalModule/ICPModule,proxy,0.0,1.4488754130434245,0.9627588549056434,-5.0,4.0,-5.0,4.0,PASS,
healthy_child_20kg,RRT_indication_score,AKICRRTModule/FluidBalanceModule,score,0.0,0.08140915260001957,0.0043443972909589235,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,RV_afterload_index,HeartLung/RespiratoryMechanicsModule,index,0.0,0.14271572398857033,0.14271572398857033,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,VCO2_mod,NutritionCatabolismModule,modifier,1.0,1.0,1.0,0.0,5.0,0.0,2.5,PASS,
healthy_child_20kg,VILI_risk,HeartLung/RespiratoryMechanicsModule,risk_index,0.0,0.02773647199596961,0.026249309459092776,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,adrenal_insufficiency_index,EndocrineStressAxisModule,index,0.0,0.09591974769780716,0.09545777193514737,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,air_trapping_index,AirwayObstructionModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,airway_VdVt_add,AirwayObstructionModule,additive_modifier,0.0,0.0,0.0,-150.0,150.0,-50.0,50.0,PASS,
healthy_child_20kg,airway_obstruction_index,AirwayObstructionModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,airway_resistance_mod,AirwayObstructionModule,modifier,1.21,1.21,1.21,0.0,5.0,0.0,2.5,PASS,
healthy_child_20kg,airway_shunt_add,AirwayObstructionModule,additive_modifier,0.0,0.0,0.0,-150.0,150.0,-50.0,50.0,PASS,
healthy_child_20kg,analgesia_score,PainStressSedationModule,score,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,anemia_severity_index,HematologyOxygenTransportModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,antibiotic_delay_harm_index,InfectionAntimicrobialBasicModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,antibiotic_effect,InfectionAntimicrobialBasicModule,effect_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,antimicrobial_deescalation_readiness,InfectionAntimicrobialBasicModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,antimicrobial_escalation_score,InfectionAntimicrobialBasicModule,score,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,antipyretic_effect,ThermoregulationModule,effect_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,atelectrauma_index,HeartLung/RespiratoryMechanicsModule,index,0.0,0.08320941598790883,0.07874792837727833,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,bleeding_risk_index,HematologyOxygenTransportModule,risk_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,bronchodilator_effect,AirwayObstructionModule,effect_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,bronchospasm_index,AirwayObstructionModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,capillary_leak_index,HeartLung/RespiratoryMechanicsModule,index,0.0,0.015460827772908243,0.014249392273658928,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,catabolism_index,NutritionCatabolismModule,index,0.0,0.13202120869079104,0.13146281566223303,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,catecholamine_tone,EndocrineStressAxisModule,drive_or_tone,0.18,0.2362831509657483,0.2181495593393674,0.0,3.0,0.0,2.0,PASS,
healthy_child_20kg,cerebral_metabolic_rate_mod,NeuroFunctionalModule/ICPModule,modifier,1.0,1.0009914501127082,1.0009914501127082,0.0,5.0,0.0,2.5,PASS,
healthy_child_20kg,cholestasis_index,HepaticMetabolismModule,index,0.0,0.01553937307169475,0.01553937307169475,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,clonidine_bradycardia_risk,Pharmacology/PainStressSedationModules,risk_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,clonidine_hypotension_risk,Pharmacology/PainStressSedationModules,risk_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,clonidine_withdrawal_mod,Neurofunctional/PainStressSedationModules,modifier,0.0,0.0,0.0,0.0,5.0,0.0,2.5,PASS,
healthy_child_20kg,coag_score,CoagulationModule,score,0.0,0.0,0.0,0.0,10.0,0.0,5.0,PASS,
healthy_child_20kg,consciousness_index,NeuroFunctionalModule/ICPModule,index,0.0,0.0067010235295223985,0.001788022562652684,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,cooling_effect,ThermoregulationModule,effect_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,critical_illness_steroid_need_index,EndocrineStressAxisModule,index,0.0,0.01630635710862722,0.016227821228975054,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,cycling_frac,VentilatorModule,setting_fraction,0.25,0.25,0.25,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,cytokine_drive,AdvancedSepsisModule,drive_or_tone,0.0,0.0,0.0,0.0,3.0,0.0,2.0,PASS,
healthy_child_20kg,delirium_risk,PainStressSedationModule,risk_index,0.05,0.133008173897062,0.05,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,delirium_state_index,NeuroFunctionalModule/ICPModule,index,0.0,0.31844210249695076,0.18469780917001907,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,diuretic_effect,AKICRRTModule/FluidBalanceModule,effect_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,diuretic_response_index,AKICRRTModule/FluidBalanceModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,drive_level,RespiratoryMechanics/ChemoreflexModule,drive_or_tone,1.0,2.4995870658783015,2.4995870658783015,0.0,3.0,0.0,2.0,REVIEW,
healthy_child_20kg,drug_HR_mod,PKPDModule,modifier,1.0,1.0,1.0,0.0,5.0,0.0,2.5,PASS,
healthy_child_20kg,drug_MAP_mod,PKPDModule,modifier,1.0,1.0,1.0,0.0,5.0,0.0,2.5,PASS,
healthy_child_20kg,drug_NMB_frac,PKPDModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
healthy_child_20kg,drug_SVR_mod,PKPDModule,modifier,1.0,1.0,1.0,0.0,5.0,0.0,2.5,PASS,
