scenario,parameter,domain,outcome,normalized_sensitivity,finding,severity
septic_shock,preload_factor,hemodynamics,map_nadir,0.44999,fragile_parameter_response,review
septic_shock,preload_factor,hemodynamics,lactate_peak,0.73013,fragile_parameter_response,review
septic_shock,preload_factor,hemodynamics,rescue_margin,0.26667,fragile_parameter_response,review
septic_shock,svr_factor,hemodynamics,map_nadir,0.25,fragile_parameter_response,review
septic_shock,svr_factor,hemodynamics,lactate_peak,0.35134,fragile_parameter_response,review
septic_shock,contractility_factor,hemodynamics,map_nadir,0.30001,fragile_parameter_response,review
septic_shock,contractility_factor,hemodynamics,lactate_peak,0.47101,fragile_parameter_response,review
septic_shock,airway_resistance_factor,respiration,lactate_peak,0.81781,fragile_parameter_response,review
septic_shock,airway_resistance_factor,respiration,rescue_margin,0.36071,fragile_parameter_response,review
anaphylaxis,preload_factor,hemodynamics,map_nadir,0.44997,fragile_parameter_response,review
anaphylaxis,preload_factor,hemodynamics,lactate_peak,0.75925,fragile_parameter_response,review
anaphylaxis,preload_factor,hemodynamics,rescue_margin,0.34,fragile_parameter_response,review
anaphylaxis,svr_factor,hemodynamics,map_nadir,0.25,fragile_parameter_response,review
anaphylaxis,svr_factor,hemodynamics,lactate_peak,0.40222,fragile_parameter_response,review
anaphylaxis,contractility_factor,hemodynamics,map_nadir,0.3,fragile_parameter_response,review
anaphylaxis,contractility_factor,hemodynamics,lactate_peak,0.5106,fragile_parameter_response,review
anaphylaxis,airway_resistance_factor,respiration,lactate_peak,0.63543,fragile_parameter_response,review
anaphylaxis,airway_resistance_factor,respiration,rescue_margin,0.34429,fragile_parameter_response,review
bronchiolitis_failure,preload_factor,hemodynamics,map_nadir,0.45,fragile_parameter_response,review
bronchiolitis_failure,svr_factor,hemodynamics,map_nadir,0.25,fragile_parameter_response,review
bronchiolitis_failure,contractility_factor,hemodynamics,map_nadir,0.3,fragile_parameter_response,review
bronchiolitis_failure,airway_resistance_factor,respiration,lactate_peak,0.43143,fragile_parameter_response,review
tamponade,preload_factor,hemodynamics,map_nadir,0.45001,fragile_parameter_response,review
tamponade,preload_factor,hemodynamics,lactate_peak,0.81361,fragile_parameter_response,review
tamponade,preload_factor,hemodynamics,rescue_margin,0.395,fragile_parameter_response,review
tamponade,svr_factor,hemodynamics,map_nadir,0.25,fragile_parameter_response,review
tamponade,svr_factor,hemodynamics,lactate_peak,0.4521,fragile_parameter_response,review
tamponade,contractility_factor,hemodynamics,map_nadir,0.29998,fragile_parameter_response,review
tamponade,contractility_factor,hemodynamics,lactate_peak,0.5427,fragile_parameter_response,review
tamponade,contractility_factor,hemodynamics,rescue_margin,0.26375,fragile_parameter_response,review
tamponade,airway_resistance_factor,respiration,lactate_peak,0.66432,fragile_parameter_response,review
tamponade,airway_resistance_factor,respiration,rescue_margin,0.39857,fragile_parameter_response,review
tamponade,lactate_clearance_factor,metabolism,lactate_peak,0.39034,fragile_parameter_response,review
dka_shock,preload_factor,hemodynamics,map_nadir,0.45,fragile_parameter_response,review
dka_shock,preload_factor,hemodynamics,lactate_peak,0.46111,fragile_parameter_response,review
dka_shock,svr_factor,hemodynamics,map_nadir,0.25,fragile_parameter_response,review
dka_shock,contractility_factor,hemodynamics,map_nadir,0.3,fragile_parameter_response,review
dka_shock,contractility_factor,hemodynamics,lactate_peak,0.25583,fragile_parameter_response,review
dka_shock,airway_resistance_factor,respiration,lactate_peak,0.76714,fragile_parameter_response,review
dka_shock,airway_resistance_factor,respiration,rescue_margin,0.31929,fragile_parameter_response,review
