scenario,parameter,domain,level,outcome,value,baseline_value,delta_from_baseline
septic_shock,preload_factor,hemodynamics,0.65,spo2_nadir,95.443,96.22,-0.777
septic_shock,preload_factor,hemodynamics,0.65,map_nadir,46.135,54.76,-8.625
septic_shock,preload_factor,hemodynamics,0.65,lactate_peak,2.165,1.518,0.647
septic_shock,preload_factor,hemodynamics,0.65,rescue_margin,0.84,0.996,-0.156
septic_shock,preload_factor,hemodynamics,0.75,spo2_nadir,95.665,96.22,-0.555
septic_shock,preload_factor,hemodynamics,0.75,map_nadir,48.599,54.76,-6.161
septic_shock,preload_factor,hemodynamics,0.75,lactate_peak,1.98,1.518,0.462
septic_shock,preload_factor,hemodynamics,0.75,rescue_margin,0.885,0.996,-0.111
septic_shock,preload_factor,hemodynamics,0.85,spo2_nadir,95.887,96.22,-0.333
septic_shock,preload_factor,hemodynamics,0.85,map_nadir,51.064,54.76,-3.696
septic_shock,preload_factor,hemodynamics,0.85,lactate_peak,1.795,1.518,0.277
septic_shock,preload_factor,hemodynamics,0.85,rescue_margin,0.929,0.996,-0.067
septic_shock,preload_factor,hemodynamics,0.95,spo2_nadir,96.109,96.22,-0.111
septic_shock,preload_factor,hemodynamics,0.95,map_nadir,53.528,54.76,-1.232
septic_shock,preload_factor,hemodynamics,0.95,lactate_peak,1.61,1.518,0.092
septic_shock,preload_factor,hemodynamics,0.95,rescue_margin,0.974,0.996,-0.022
septic_shock,preload_factor,hemodynamics,1.05,spo2_nadir,96.331,96.22,0.111
septic_shock,preload_factor,hemodynamics,1.05,map_nadir,55.992,54.76,1.232
septic_shock,preload_factor,hemodynamics,1.05,lactate_peak,1.5,1.518,-0.018
septic_shock,preload_factor,hemodynamics,1.05,rescue_margin,1.0,0.996,0.004
septic_shock,preload_factor,hemodynamics,1.15,spo2_nadir,96.553,96.22,0.333
septic_shock,preload_factor,hemodynamics,1.15,map_nadir,58.456,54.76,3.696
septic_shock,preload_factor,hemodynamics,1.15,lactate_peak,1.5,1.518,-0.018
septic_shock,preload_factor,hemodynamics,1.15,rescue_margin,1.0,0.996,0.004
septic_shock,preload_factor,hemodynamics,1.25,spo2_nadir,96.775,96.22,0.555
septic_shock,preload_factor,hemodynamics,1.25,map_nadir,60.92,54.76,6.16
septic_shock,preload_factor,hemodynamics,1.25,lactate_peak,1.5,1.518,-0.018
septic_shock,preload_factor,hemodynamics,1.25,rescue_margin,1.0,0.996,0.004
