scenario,parameter,domain,outcome,gradient,normalized_sensitivity,direction,dominant
septic_shock,airway_resistance_factor,respiration,lactate_peak,1.24143,0.81781,positive,True
tamponade,preload_factor,hemodynamics,lactate_peak,-1.58167,0.81361,negative,True
dka_shock,airway_resistance_factor,respiration,lactate_peak,1.15071,0.76714,positive,True
anaphylaxis,preload_factor,hemodynamics,lactate_peak,-1.30667,0.75925,negative,True
septic_shock,preload_factor,hemodynamics,lactate_peak,-1.10833,0.73013,negative,True
tamponade,airway_resistance_factor,respiration,lactate_peak,1.29143,0.66432,positive,True
anaphylaxis,airway_resistance_factor,respiration,lactate_peak,1.09357,0.63543,positive,True
tamponade,contractility_factor,hemodynamics,lactate_peak,-1.055,0.5427,negative,True
anaphylaxis,contractility_factor,hemodynamics,lactate_peak,-0.87875,0.5106,negative,True
septic_shock,contractility_factor,hemodynamics,lactate_peak,-0.715,0.47101,negative,True
dka_shock,preload_factor,hemodynamics,lactate_peak,-0.69167,0.46111,negative,True
tamponade,svr_factor,hemodynamics,lactate_peak,-0.87889,0.4521,negative,True
tamponade,preload_factor,hemodynamics,map_nadir,21.97833,0.45001,positive,True
bronchiolitis_failure,preload_factor,hemodynamics,map_nadir,29.97,0.45,positive,True
dka_shock,preload_factor,hemodynamics,map_nadir,26.64,0.45,positive,True
septic_shock,preload_factor,hemodynamics,map_nadir,24.64167,0.44999,positive,True
anaphylaxis,preload_factor,hemodynamics,map_nadir,23.30833,0.44997,positive,True
bronchiolitis_failure,airway_resistance_factor,respiration,lactate_peak,0.64714,0.43143,positive,True
anaphylaxis,svr_factor,hemodynamics,lactate_peak,-0.69222,0.40222,negative,True
tamponade,airway_resistance_factor,respiration,rescue_margin,-0.39857,0.39857,negative,True
tamponade,preload_factor,hemodynamics,rescue_margin,0.395,0.395,positive,True
tamponade,lactate_clearance_factor,metabolism,lactate_peak,-0.75882,0.39034,negative,True
septic_shock,airway_resistance_factor,respiration,rescue_margin,-0.36071,0.36071,negative,True
septic_shock,svr_factor,hemodynamics,lactate_peak,-0.53333,0.35134,negative,True
anaphylaxis,airway_resistance_factor,respiration,rescue_margin,-0.34429,0.34429,negative,True
anaphylaxis,preload_factor,hemodynamics,rescue_margin,0.34,0.34,positive,True
dka_shock,airway_resistance_factor,respiration,rescue_margin,-0.31929,0.31929,negative,True
septic_shock,contractility_factor,hemodynamics,map_nadir,16.42875,0.30001,positive,True
anaphylaxis,contractility_factor,hemodynamics,map_nadir,15.54,0.3,positive,True
bronchiolitis_failure,contractility_factor,hemodynamics,map_nadir,19.98,0.3,positive,True
dka_shock,contractility_factor,hemodynamics,map_nadir,17.76,0.3,positive,True
tamponade,contractility_factor,hemodynamics,map_nadir,14.65125,0.29998,positive,True
septic_shock,preload_factor,hemodynamics,rescue_margin,0.26667,0.26667,positive,True
tamponade,contractility_factor,hemodynamics,rescue_margin,0.26375,0.26375,positive,True
dka_shock,contractility_factor,hemodynamics,lactate_peak,-0.38375,0.25583,negative,True
septic_shock,svr_factor,hemodynamics,map_nadir,13.69,0.25,positive,True
anaphylaxis,svr_factor,hemodynamics,map_nadir,12.95,0.25,positive,True
bronchiolitis_failure,svr_factor,hemodynamics,map_nadir,16.65,0.25,positive,True
tamponade,svr_factor,hemodynamics,map_nadir,12.21,0.25,positive,True
dka_shock,svr_factor,hemodynamics,map_nadir,14.8,0.25,positive,True
bronchiolitis_failure,airway_resistance_factor,respiration,rescue_margin,-0.23071,0.23071,negative,True
anaphylaxis,contractility_factor,hemodynamics,rescue_margin,0.22875,0.22875,positive,True
tamponade,svr_factor,hemodynamics,rescue_margin,0.22,0.22,positive,True
anaphylaxis,lactate_clearance_factor,metabolism,lactate_peak,-0.37765,0.21943,negative,True
dka_shock,alveolar_oxygen_reserve,respiration,lactate_peak,-0.29176,0.19451,negative,False
septic_shock,alveolar_oxygen_reserve,respiration,lactate_peak,-0.28706,0.1891,negative,False
anaphylaxis,svr_factor,hemodynamics,rescue_margin,0.18,0.18,positive,False
septic_shock,contractility_factor,hemodynamics,rescue_margin,0.17125,0.17125,positive,False
tamponade,airway_resistance_factor,respiration,spo2_nadir,-15.84,0.16503,negative,False
dka_shock,airway_resistance_factor,respiration,spo2_nadir,-15.48,0.16058,negative,False
anaphylaxis,alveolar_oxygen_reserve,respiration,lactate_peak,-0.27529,0.15996,negative,False
septic_shock,airway_resistance_factor,respiration,spo2_nadir,-14.76,0.1534,negative,False
dka_shock,preload_factor,hemodynamics,rescue_margin,0.15333,0.15333,positive,False
tamponade,alveolar_oxygen_reserve,respiration,lactate_peak,-0.29765,0.15311,negative,False
dka_shock,svr_factor,hemodynamics,lactate_peak,-0.22111,0.14741,negative,False
anaphylaxis,airway_resistance_factor,respiration,spo2_nadir,-14.04,0.1461,negative,False
tamponade,alveolar_oxygen_reserve,respiration,spo2_nadir,13.0,0.13544,positive,False
anaphylaxis,alveolar_oxygen_reserve,respiration,spo2_nadir,13.0,0.13528,positive,False
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,lactate_peak,-0.20235,0.1349,negative,False
septic_shock,alveolar_oxygen_reserve,respiration,spo2_nadir,12.85882,0.13364,positive,False
dka_shock,alveolar_oxygen_reserve,respiration,spo2_nadir,12.64706,0.13119,positive,False
bronchiolitis_failure,airway_resistance_factor,respiration,spo2_nadir,-12.6,0.1303,negative,False
septic_shock,svr_factor,hemodynamics,rescue_margin,0.12778,0.12778,positive,False
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,spo2_nadir,12.29412,0.12714,positive,False
tamponade,alveolar_oxygen_reserve,respiration,rescue_margin,0.09294,0.09294,positive,False
anaphylaxis,alveolar_oxygen_reserve,respiration,rescue_margin,0.08941,0.08941,positive,False
septic_shock,alveolar_oxygen_reserve,respiration,rescue_margin,0.08706,0.08706,positive,False
dka_shock,contractility_factor,hemodynamics,rescue_margin,0.085,0.085,positive,False
dka_shock,alveolar_oxygen_reserve,respiration,rescue_margin,0.08118,0.08118,positive,False
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,rescue_margin,0.07176,0.07176,positive,False
tamponade,airway_resistance_factor,respiration,map_nadir,-3.5,0.07166,negative,False
anaphylaxis,airway_resistance_factor,respiration,map_nadir,-3.5,0.06757,negative,False
septic_shock,airway_resistance_factor,respiration,map_nadir,-3.5,0.06392,negative,False
dka_shock,airway_resistance_factor,respiration,map_nadir,-3.5,0.05912,negative,False
bronchiolitis_failure,airway_resistance_factor,respiration,map_nadir,-3.5,0.05255,negative,False
dka_shock,svr_factor,hemodynamics,rescue_margin,0.04889,0.04889,positive,False
dka_shock,preload_factor,hemodynamics,spo2_nadir,2.4,0.0249,positive,False
septic_shock,preload_factor,hemodynamics,spo2_nadir,2.22,0.02307,positive,False
anaphylaxis,preload_factor,hemodynamics,spo2_nadir,2.1,0.02185,positive,False
bronchiolitis_failure,preload_factor,hemodynamics,spo2_nadir,2.075,0.02146,positive,False
tamponade,preload_factor,hemodynamics,spo2_nadir,1.98,0.02063,positive,False
septic_shock,lactate_clearance_factor,metabolism,lactate_peak,-0.03059,0.02015,negative,False
septic_shock,svr_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
septic_shock,contractility_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
septic_shock,alveolar_oxygen_reserve,respiration,map_nadir,0.0,0.0,flat,False
septic_shock,lactate_clearance_factor,metabolism,spo2_nadir,0.0,0.0,flat,False
septic_shock,lactate_clearance_factor,metabolism,map_nadir,0.0,0.0,flat,False
septic_shock,lactate_clearance_factor,metabolism,rescue_margin,0.0,0.0,flat,False
anaphylaxis,svr_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
anaphylaxis,contractility_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
anaphylaxis,alveolar_oxygen_reserve,respiration,map_nadir,0.0,0.0,flat,False
anaphylaxis,lactate_clearance_factor,metabolism,spo2_nadir,0.0,0.0,flat,False
anaphylaxis,lactate_clearance_factor,metabolism,map_nadir,0.0,0.0,flat,False
anaphylaxis,lactate_clearance_factor,metabolism,rescue_margin,0.0,0.0,flat,False
bronchiolitis_failure,preload_factor,hemodynamics,lactate_peak,0.0,0.0,flat,False
bronchiolitis_failure,preload_factor,hemodynamics,rescue_margin,0.0,0.0,flat,False
bronchiolitis_failure,svr_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
bronchiolitis_failure,svr_factor,hemodynamics,lactate_peak,0.0,0.0,flat,False
bronchiolitis_failure,svr_factor,hemodynamics,rescue_margin,0.0,0.0,flat,False
bronchiolitis_failure,contractility_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
bronchiolitis_failure,contractility_factor,hemodynamics,lactate_peak,0.0,0.0,flat,False
bronchiolitis_failure,contractility_factor,hemodynamics,rescue_margin,0.0,0.0,flat,False
bronchiolitis_failure,alveolar_oxygen_reserve,respiration,map_nadir,0.0,0.0,flat,False
bronchiolitis_failure,lactate_clearance_factor,metabolism,spo2_nadir,0.0,0.0,flat,False
bronchiolitis_failure,lactate_clearance_factor,metabolism,map_nadir,0.0,0.0,flat,False
bronchiolitis_failure,lactate_clearance_factor,metabolism,lactate_peak,0.0,0.0,flat,False
bronchiolitis_failure,lactate_clearance_factor,metabolism,rescue_margin,0.0,0.0,flat,False
tamponade,svr_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
tamponade,contractility_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
tamponade,alveolar_oxygen_reserve,respiration,map_nadir,0.0,0.0,flat,False
tamponade,lactate_clearance_factor,metabolism,spo2_nadir,0.0,0.0,flat,False
tamponade,lactate_clearance_factor,metabolism,map_nadir,0.0,0.0,flat,False
tamponade,lactate_clearance_factor,metabolism,rescue_margin,0.0,0.0,flat,False
dka_shock,svr_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
dka_shock,contractility_factor,hemodynamics,spo2_nadir,0.0,0.0,flat,False
dka_shock,alveolar_oxygen_reserve,respiration,map_nadir,0.0,0.0,flat,False
dka_shock,lactate_clearance_factor,metabolism,spo2_nadir,0.0,0.0,flat,False
dka_shock,lactate_clearance_factor,metabolism,map_nadir,0.0,0.0,flat,False
dka_shock,lactate_clearance_factor,metabolism,lactate_peak,0.0,0.0,flat,False
dka_shock,lactate_clearance_factor,metabolism,rescue_margin,0.0,0.0,flat,False
